run_id,collection_round,execution_position,card_id,provider,api_model_id,repetition
S_P-CIO-3_xai_01,1,40,P-CIO-3,xai,grok-4.5,1
S_P-CIO-1_moonshot_01,1,41,P-CIO-1,moonshot,kimi-k3,1
S_P-CIO-2_google_01,1,42,P-CIO-2,google,gemini-3.1-pro-preview,1
S_P-CFO-1_anthropic_01,1,43,P-CFO-1,anthropic,claude-opus-5,1
S_P-CFO-5_xai_01,1,44,P-CFO-5,xai,grok-4.5,1
S_P-CFO-1_google_01,1,45,P-CFO-1,google,gemini-3.1-pro-preview,1
S_P-COO-5_openai_01,1,46,P-COO-5,openai,gpt-5.6-sol,1
S_P-CIO-1_xai_01,1,47,P-CIO-1,xai,grok-4.5,1
S_P-CIO-2_xai_01,1,48,P-CIO-2,xai,grok-4.5,1
S_P-COO-3_openai_01,1,49,P-COO-3,openai,gpt-5.6-sol,1
S_P-COO-5_moonshot_01,1,50,P-COO-5,moonshot,kimi-k3,1
S_P-COO-2_xai_01,1,51,P-COO-2,xai,grok-4.5,1
S_P-CFO-2_anthropic_01,1,52,P-CFO-2,anthropic,claude-opus-5,1
S_P-COO-3_google_01,1,53,P-COO-3,google,gemini-3.1-pro-preview,1
S_P-CIO-2_openai_01,1,54,P-CIO-2,openai,gpt-5.6-sol,1
S_P-COO-4_openai_01,1,55,P-COO-4,openai,gpt-5.6-sol,1
S_P-CFO-2_xai_01,1,56,P-CFO-2,xai,grok-4.5,1
S_P-CFO-5_anthropic_01,1,57,P-CFO-5,anthropic,claude-opus-5,1
S_P-CIO-4_moonshot_01,1,58,P-CIO-4,moonshot,kimi-k3,1
S_P-COO-5_google_01,1,59,P-COO-5,google,gemini-3.1-pro-preview,1
S_P-CIO-4_google_01,1,60,P-CIO-4,google,gemini-3.1-pro-preview,1
S_P-COO-2_openai_01,1,61,P-COO-2,openai,gpt-5.6-sol,1
S_P-CIO-3_openai_01,1,62,P-CIO-3,openai,gpt-5.6-sol,1
S_P-CFO-1_openai_01,1,63,P-CFO-1,openai,gpt-5.6-sol,1
S_P-CFO-2_openai_01,1,64,P-CFO-2,openai,gpt-5.6-sol,1
S_P-COO-1_openai_01,1,65,P-COO-1,openai,gpt-5.6-sol,1
S_P-CIO-5_google_01,1,66,P-CIO-5,google,gemini-3.1-pro-preview,1
S_P-COO-5_anthropic_01,1,67,P-COO-5,anthropic,claude-opus-5,1
S_P-CFO-2_moonshot_01,1,68,P-CFO-2,moonshot,kimi-k3,1
S_P-CFO-5_google_01,1,69,P-CFO-5,google,gemini-3.1-pro-preview,1
S_P-CIO-3_google_01,1,70,P-CIO-3,google,gemini-3.1-pro-preview,1
S_P-COO-2_google_01,1,71,P-COO-2,google,gemini-3.1-pro-preview,1
S_P-COO-4_xai_01,1,72,P-COO-4,xai,grok-4.5,1
S_P-CFO-5_openai_01,1,73,P-CFO-5,openai,gpt-5.6-sol,1
S_P-CFO-4_openai_01,1,74,P-CFO-4,openai,gpt-5.6-sol,1
S_P-COO-4_anthropic_01,1,75,P-COO-4,anthropic,claude-opus-5,1
S_P-COO-5_moonshot_02,2,1,P-COO-5,moonshot,kimi-k3,2
S_P-CFO-2_anthropic_02,2,2,P-CFO-2,anthropic,claude-opus-5,2
S_P-CFO-2_moonshot_02,2,3,P-CFO-2,moonshot,kimi-k3,2
S_P-CIO-5_moonshot_02,2,4,P-CIO-5,moonshot,kimi-k3,2
S_P-CIO-4_openai_02,2,5,P-CIO-4,openai,gpt-5.6-sol,2
S_P-CIO-5_anthropic_02,2,6,P-CIO-5,anthropic,claude-opus-5,2
S_P-COO-3_anthropic_02,2,7,P-COO-3,anthropic,claude-opus-5,2
S_P-COO-4_google_02,2,8,P-COO-4,google,gemini-3.1-pro-preview,2
S_P-CIO-5_openai_02,2,9,P-CIO-5,openai,gpt-5.6-sol,2
S_P-CIO-3_anthropic_02,2,10,P-CIO-3,anthropic,claude-opus-5,2
S_P-CFO-4_google_02,2,11,P-CFO-4,google,gemini-3.1-pro-preview,2
S_P-COO-1_moonshot_02,2,12,P-COO-1,moonshot,kimi-k3,2
S_P-CFO-5_moonshot_02,2,13,P-CFO-5,moonshot,kimi-k3,2
S_P-CIO-3_xai_02,2,14,P-CIO-3,xai,grok-4.5,2
S_P-CFO-2_openai_02,2,15,P-CFO-2,openai,gpt-5.6-sol,2
S_P-CFO-3_google_02,2,16,P-CFO-3,google,gemini-3.1-pro-preview,2
S_P-COO-1_xai_02,2,17,P-COO-1,xai,grok-4.5,2
S_P-COO-3_moonshot_02,2,18,P-COO-3,moonshot,kimi-k3,2
S_P-CIO-1_openai_02,2,19,P-CIO-1,openai,gpt-5.6-sol,2
S_P-COO-2_xai_02,2,20,P-COO-2,xai,grok-4.5,2
S_P-CIO-4_anthropic_02,2,21,P-CIO-4,anthropic,claude-opus-5,2
S_P-CIO-4_moonshot_02,2,22,P-CIO-4,moonshot,kimi-k3,2
S_P-CFO-1_xai_02,2,23,P-CFO-1,xai,grok-4.5,2
S_P-COO-5_google_02,2,24,P-COO-5,google,gemini-3.1-pro-preview,2
S_P-CIO-1_anthropic_02,2,25,P-CIO-1,anthropic,claude-opus-5,2
S_P-COO-5_openai_02,2,26,P-COO-5,openai,gpt-5.6-sol,2
S_P-COO-5_xai_02,2,27,P-COO-5,xai,grok-4.5,2
S_P-COO-2_moonshot_02,2,28,P-COO-2,moonshot,kimi-k3,2
S_P-CIO-2_xai_02,2,29,P-CIO-2,xai,grok-4.5,2
S_P-COO-3_openai_02,2,30,P-COO-3,openai,gpt-5.6-sol,2
S_P-CFO-1_openai_02,2,31,P-CFO-1,openai,gpt-5.6-sol,2
S_P-CIO-3_google_02,2,32,P-CIO-3,google,gemini-3.1-pro-preview,2
S_P-CFO-3_openai_02,2,33,P-CFO-3,openai,gpt-5.6-sol,2
S_P-CIO-1_google_02,2,34,P-CIO-1,google,gemini-3.1-pro-preview,2
S_P-CFO-5_anthropic_02,2,35,P-CFO-5,anthropic,claude-opus-5,2
S_P-COO-4_moonshot_02,2,36,P-COO-4,moonshot,kimi-k3,2
S_P-CFO-4_moonshot_02,2,37,P-CFO-4,moonshot,kimi-k3,2
S_P-CFO-4_xai_02,2,38,P-CFO-4,xai,grok-4.5,2
S_P-COO-4_anthropic_02,2,39,P-COO-4,anthropic,claude-opus-5,2
S_P-CIO-5_xai_02,2,40,P-CIO-5,xai,grok-4.5,2
S_P-COO-2_anthropic_02,2,41,P-COO-2,anthropic,claude-opus-5,2
S_P-CFO-5_xai_02,2,42,P-CFO-5,xai,grok-4.5,2
S_P-CIO-4_google_02,2,43,P-CIO-4,google,gemini-3.1-pro-preview,2
S_P-COO-5_anthropic_02,2,44,P-COO-5,anthropic,claude-opus-5,2
S_P-CIO-1_moonshot_02,2,45,P-CIO-1,moonshot,kimi-k3,2
S_P-CIO-2_anthropic_02,2,46,P-CIO-2,anthropic,claude-opus-5,2
S_P-CFO-1_anthropic_02,2,47,P-CFO-1,anthropic,claude-opus-5,2
S_P-CIO-3_openai_02,2,48,P-CIO-3,openai,gpt-5.6-sol,2
S_P-COO-1_google_02,2,49,P-COO-1,google,gemini-3.1-pro-preview,2
S_P-CFO-1_google_02,2,50,P-CFO-1,google,gemini-3.1-pro-preview,2
S_P-CFO-5_google_02,2,51,P-CFO-5,google,gemini-3.1-pro-preview,2
S_P-COO-3_xai_02,2,52,P-COO-3,xai,grok-4.5,2
S_P-CIO-1_xai_02,2,53,P-CIO-1,xai,grok-4.5,2
S_P-CFO-4_openai_02,2,54,P-CFO-4,openai,gpt-5.6-sol,2
S_P-CFO-3_anthropic_02,2,55,P-CFO-3,anthropic,claude-opus-5,2
S_P-CIO-4_xai_02,2,56,P-CIO-4,xai,grok-4.5,2
S_P-CFO-3_xai_02,2,57,P-CFO-3,xai,grok-4.5,2
S_P-CFO-2_xai_02,2,58,P-CFO-2,xai,grok-4.5,2
S_P-CFO-5_openai_02,2,59,P-CFO-5,openai,gpt-5.6-sol,2
S_P-CFO-3_moonshot_02,2,60,P-CFO-3,moonshot,kimi-k3,2
S_P-COO-2_openai_02,2,61,P-COO-2,openai,gpt-5.6-sol,2
S_P-CIO-2_moonshot_02,2,62,P-CIO-2,moonshot,kimi-k3,2
S_P-COO-4_xai_02,2,63,P-COO-4,xai,grok-4.5,2
S_P-CIO-2_google_02,2,64,P-CIO-2,google,gemini-3.1-pro-preview,2
S_P-CIO-2_openai_02,2,65,P-CIO-2,openai,gpt-5.6-sol,2
S_P-COO-4_openai_02,2,66,P-COO-4,openai,gpt-5.6-sol,2
S_P-CFO-4_anthropic_02,2,67,P-CFO-4,anthropic,claude-opus-5,2
S_P-CIO-3_moonshot_02,2,68,P-CIO-3,moonshot,kimi-k3,2
S_P-COO-3_google_02,2,69,P-COO-3,google,gemini-3.1-pro-preview,2
S_P-COO-1_anthropic_02,2,70,P-COO-1,anthropic,claude-opus-5,2
S_P-CFO-1_moonshot_02,2,71,P-CFO-1,moonshot,kimi-k3,2
S_P-CFO-2_google_02,2,72,P-CFO-2,google,gemini-3.1-pro-preview,2
S_P-CIO-5_google_02,2,73,P-CIO-5,google,gemini-3.1-pro-preview,2
S_P-COO-1_openai_02,2,74,P-COO-1,openai,gpt-5.6-sol,2
S_P-COO-2_google_02,2,75,P-COO-2,google,gemini-3.1-pro-preview,2
S_P-CIO-1_anthropic_03,3,1,P-CIO-1,anthropic,claude-opus-5,3
S_P-COO-2_moonshot_03,3,2,P-COO-2,moonshot,kimi-k3,3
S_P-COO-4_openai_03,3,3,P-COO-4,openai,gpt-5.6-sol,3
S_P-COO-2_google_03,3,4,P-COO-2,google,gemini-3.1-pro-preview,3
S_P-CFO-2_openai_03,3,5,P-CFO-2,openai,gpt-5.6-sol,3
S_P-CFO-3_xai_03,3,6,P-CFO-3,xai,grok-4.5,3
S_P-CFO-4_openai_03,3,7,P-CFO-4,openai,gpt-5.6-sol,3
S_P-CFO-1_anthropic_03,3,8,P-CFO-1,anthropic,claude-opus-5,3
S_P-COO-5_openai_03,3,9,P-COO-5,openai,gpt-5.6-sol,3
S_P-CFO-2_xai_03,3,10,P-CFO-2,xai,grok-4.5,3
S_P-COO-2_openai_03,3,11,P-COO-2,openai,gpt-5.6-sol,3
S_P-CFO-5_anthropic_03,3,12,P-CFO-5,anthropic,claude-opus-5,3
S_P-COO-1_moonshot_03,3,13,P-COO-1,moonshot,kimi-k3,3
S_P-CFO-1_xai_03,3,14,P-CFO-1,xai,grok-4.5,3
S_P-CFO-1_moonshot_03,3,15,P-CFO-1,moonshot,kimi-k3,3
S_P-COO-5_xai_03,3,16,P-COO-5,xai,grok-4.5,3
S_P-COO-1_openai_03,3,17,P-COO-1,openai,gpt-5.6-sol,3
S_P-COO-1_xai_03,3,18,P-COO-1,xai,grok-4.5,3
S_P-CIO-3_xai_03,3,19,P-CIO-3,xai,grok-4.5,3
S_P-CFO-3_google_03,3,20,P-CFO-3,google,gemini-3.1-pro-preview,3
S_P-CFO-1_google_03,3,21,P-CFO-1,google,gemini-3.1-pro-preview,3
S_P-CIO-5_openai_03,3,22,P-CIO-5,openai,gpt-5.6-sol,3
S_P-CFO-4_google_03,3,23,P-CFO-4,google,gemini-3.1-pro-preview,3
S_P-CIO-4_anthropic_03,3,24,P-CIO-4,anthropic,claude-opus-5,3
S_P-COO-2_anthropic_03,3,25,P-COO-2,anthropic,claude-opus-5,3
S_P-CFO-3_moonshot_03,3,26,P-CFO-3,moonshot,kimi-k3,3
S_P-CIO-1_google_03,3,27,P-CIO-1,google,gemini-3.1-pro-preview,3
S_P-CIO-5_anthropic_03,3,28,P-CIO-5,anthropic,claude-opus-5,3
S_P-CIO-4_openai_03,3,29,P-CIO-4,openai,gpt-5.6-sol,3
S_P-CIO-2_openai_03,3,30,P-CIO-2,openai,gpt-5.6-sol,3
S_P-COO-4_xai_03,3,31,P-COO-4,xai,grok-4.5,3
S_P-COO-3_google_03,3,32,P-COO-3,google,gemini-3.1-pro-preview,3
S_P-CFO-4_moonshot_03,3,33,P-CFO-4,moonshot,kimi-k3,3
S_P-CFO-4_anthropic_03,3,34,P-CFO-4,anthropic,claude-opus-5,3
S_P-COO-3_anthropic_03,3,35,P-COO-3,anthropic,claude-opus-5,3
S_P-CFO-4_xai_03,3,36,P-CFO-4,xai,grok-4.5,3
S_P-COO-3_openai_03,3,37,P-COO-3,openai,gpt-5.6-sol,3
S_P-COO-5_moonshot_03,3,38,P-COO-5,moonshot,kimi-k3,3
S_P-CIO-3_moonshot_03,3,39,P-CIO-3,moonshot,kimi-k3,3
S_P-COO-3_xai_03,3,40,P-COO-3,xai,grok-4.5,3
S_P-CIO-2_xai_03,3,41,P-CIO-2,xai,grok-4.5,3
S_P-CIO-1_moonshot_03,3,42,P-CIO-1,moonshot,kimi-k3,3
S_P-CIO-5_moonshot_03,3,43,P-CIO-5,moonshot,kimi-k3,3
S_P-CFO-3_anthropic_03,3,44,P-CFO-3,anthropic,claude-opus-5,3
S_P-CFO-3_openai_03,3,45,P-CFO-3,openai,gpt-5.6-sol,3
S_P-CFO-2_google_03,3,46,P-CFO-2,google,gemini-3.1-pro-preview,3
S_P-CIO-3_google_03,3,47,P-CIO-3,google,gemini-3.1-pro-preview,3
S_P-CIO-5_xai_03,3,48,P-CIO-5,xai,grok-4.5,3
S_P-CIO-3_openai_03,3,49,P-CIO-3,openai,gpt-5.6-sol,3
S_P-COO-5_anthropic_03,3,50,P-COO-5,anthropic,claude-opus-5,3
S_P-COO-2_xai_03,3,51,P-COO-2,xai,grok-4.5,3
S_P-COO-1_anthropic_03,3,52,P-COO-1,anthropic,claude-opus-5,3
S_P-CFO-5_google_03,3,53,P-CFO-5,google,gemini-3.1-pro-preview,3
S_P-COO-5_google_03,3,54,P-COO-5,google,gemini-3.1-pro-preview,3
S_P-CFO-2_moonshot_03,3,55,P-CFO-2,moonshot,kimi-k3,3
S_P-CFO-5_xai_03,3,56,P-CFO-5,xai,grok-4.5,3
S_P-COO-1_google_03,3,57,P-COO-1,google,gemini-3.1-pro-preview,3
S_P-CIO-2_anthropic_03,3,58,P-CIO-2,anthropic,claude-opus-5,3
S_P-CIO-5_google_03,3,59,P-CIO-5,google,gemini-3.1-pro-preview,3
S_P-CIO-4_xai_03,3,60,P-CIO-4,xai,grok-4.5,3
S_P-CIO-1_openai_03,3,61,P-CIO-1,openai,gpt-5.6-sol,3
S_P-CIO-4_moonshot_03,3,62,P-CIO-4,moonshot,kimi-k3,3
S_P-CIO-2_google_03,3,63,P-CIO-2,google,gemini-3.1-pro-preview,3
S_P-COO-3_moonshot_03,3,64,P-COO-3,moonshot,kimi-k3,3
S_P-COO-4_anthropic_03,3,65,P-COO-4,anthropic,claude-opus-5,3
S_P-CFO-5_moonshot_03,3,66,P-CFO-5,moonshot,kimi-k3,3
S_P-CFO-1_openai_03,3,67,P-CFO-1,openai,gpt-5.6-sol,3
S_P-CFO-5_openai_03,3,68,P-CFO-5,openai,gpt-5.6-sol,3
S_P-CIO-4_google_03,3,69,P-CIO-4,google,gemini-3.1-pro-preview,3
S_P-CFO-2_anthropic_03,3,70,P-CFO-2,anthropic,claude-opus-5,3
S_P-CIO-1_xai_03,3,71,P-CIO-1,xai,grok-4.5,3
S_P-COO-4_moonshot_03,3,72,P-COO-4,moonshot,kimi-k3,3
S_P-COO-4_google_03,3,73,P-COO-4,google,gemini-3.1-pro-preview,3
S_P-CIO-2_moonshot_03,3,74,P-CIO-2,moonshot,kimi-k3,3
S_P-CIO-3_anthropic_03,3,75,P-CIO-3,anthropic,claude-opus-5,3
S_P-CFO-2_xai_04,4,1,P-CFO-2,xai,grok-4.5,4
S_P-CIO-1_xai_04,4,2,P-CIO-1,xai,grok-4.5,4
S_P-CFO-2_moonshot_04,4,3,P-CFO-2,moonshot,kimi-k3,4
S_P-COO-1_moonshot_04,4,4,P-COO-1,moonshot,kimi-k3,4
S_P-COO-2_moonshot_04,4,5,P-COO-2,moonshot,kimi-k3,4
S_P-CFO-3_xai_04,4,6,P-CFO-3,xai,grok-4.5,4
S_P-CIO-4_google_04,4,7,P-CIO-4,google,gemini-3.1-pro-preview,4
S_P-CFO-4_moonshot_04,4,8,P-CFO-4,moonshot,kimi-k3,4
S_P-CIO-1_openai_04,4,9,P-CIO-1,openai,gpt-5.6-sol,4
S_P-CFO-1_openai_04,4,10,P-CFO-1,openai,gpt-5.6-sol,4
S_P-COO-1_anthropic_04,4,11,P-COO-1,anthropic,claude-opus-5,4
S_P-CFO-1_moonshot_04,4,12,P-CFO-1,moonshot,kimi-k3,4
S_P-CFO-2_google_04,4,13,P-CFO-2,google,gemini-3.1-pro-preview,4
S_P-COO-3_openai_04,4,14,P-COO-3,openai,gpt-5.6-sol,4
S_P-CIO-4_anthropic_04,4,15,P-CIO-4,anthropic,claude-opus-5,4
S_P-COO-4_xai_04,4,16,P-COO-4,xai,grok-4.5,4
S_P-CFO-1_google_04,4,17,P-CFO-1,google,gemini-3.1-pro-preview,4
S_P-CIO-3_google_04,4,18,P-CIO-3,google,gemini-3.1-pro-preview,4
S_P-CFO-4_xai_04,4,19,P-CFO-4,xai,grok-4.5,4
S_P-COO-5_anthropic_04,4,20,P-COO-5,anthropic,claude-opus-5,4
S_P-COO-5_google_04,4,21,P-COO-5,google,gemini-3.1-pro-preview,4
S_P-CIO-5_moonshot_04,4,22,P-CIO-5,moonshot,kimi-k3,4
S_P-CFO-3_openai_04,4,23,P-CFO-3,openai,gpt-5.6-sol,4
S_P-CIO-2_google_04,4,24,P-CIO-2,google,gemini-3.1-pro-preview,4
S_P-CFO-2_anthropic_04,4,25,P-CFO-2,anthropic,claude-opus-5,4
S_P-COO-4_google_04,4,26,P-COO-4,google,gemini-3.1-pro-preview,4
S_P-CFO-4_anthropic_04,4,27,P-CFO-4,anthropic,claude-opus-5,4
S_P-COO-1_google_04,4,28,P-COO-1,google,gemini-3.1-pro-preview,4
S_P-COO-5_moonshot_04,4,29,P-COO-5,moonshot,kimi-k3,4
S_P-CFO-3_moonshot_04,4,30,P-CFO-3,moonshot,kimi-k3,4
S_P-CIO-3_openai_04,4,31,P-CIO-3,openai,gpt-5.6-sol,4
S_P-COO-1_xai_04,4,32,P-COO-1,xai,grok-4.5,4
S_P-COO-2_openai_04,4,33,P-COO-2,openai,gpt-5.6-sol,4
S_P-CIO-5_xai_04,4,34,P-CIO-5,xai,grok-4.5,4
S_P-CFO-1_xai_04,4,35,P-CFO-1,xai,grok-4.5,4
S_P-CFO-5_google_04,4,36,P-CFO-5,google,gemini-3.1-pro-preview,4
S_P-COO-4_moonshot_04,4,37,P-COO-4,moonshot,kimi-k3,4
S_P-CIO-4_openai_04,4,38,P-CIO-4,openai,gpt-5.6-sol,4
S_P-CFO-3_google_04,4,39,P-CFO-3,google,gemini-3.1-pro-preview,4
S_P-CIO-3_xai_04,4,40,P-CIO-3,xai,grok-4.5,4
S_P-CFO-5_anthropic_04,4,41,P-CFO-5,anthropic,claude-opus-5,4
S_P-CIO-4_xai_04,4,42,P-CIO-4,xai,grok-4.5,4
S_P-CIO-5_google_04,4,43,P-CIO-5,google,gemini-3.1-pro-preview,4
S_P-COO-2_anthropic_04,4,44,P-COO-2,anthropic,claude-opus-5,4
S_P-CIO-2_moonshot_04,4,45,P-CIO-2,moonshot,kimi-k3,4
S_P-CFO-2_openai_04,4,46,P-CFO-2,openai,gpt-5.6-sol,4
S_P-CFO-3_anthropic_04,4,47,P-CFO-3,anthropic,claude-opus-5,4
S_P-COO-3_anthropic_04,4,48,P-COO-3,anthropic,claude-opus-5,4
S_P-CFO-5_xai_04,4,49,P-CFO-5,xai,grok-4.5,4
S_P-CIO-2_anthropic_04,4,50,P-CIO-2,anthropic,claude-opus-5,4
S_P-COO-4_openai_04,4,51,P-COO-4,openai,gpt-5.6-sol,4
S_P-COO-5_openai_04,4,52,P-COO-5,openai,gpt-5.6-sol,4
S_P-CFO-1_anthropic_04,4,53,P-CFO-1,anthropic,claude-opus-5,4
S_P-CIO-4_moonshot_04,4,54,P-CIO-4,moonshot,kimi-k3,4
S_P-CIO-5_anthropic_04,4,55,P-CIO-5,anthropic,claude-opus-5,4
S_P-COO-2_google_04,4,56,P-COO-2,google,gemini-3.1-pro-preview,4
S_P-COO-3_xai_04,4,57,P-COO-3,xai,grok-4.5,4
S_P-CIO-1_moonshot_04,4,58,P-CIO-1,moonshot,kimi-k3,4
S_P-CIO-1_anthropic_04,4,59,P-CIO-1,anthropic,claude-opus-5,4
S_P-CIO-1_google_04,4,60,P-CIO-1,google,gemini-3.1-pro-preview,4
S_P-CFO-5_moonshot_04,4,61,P-CFO-5,moonshot,kimi-k3,4
S_P-COO-4_anthropic_04,4,62,P-COO-4,anthropic,claude-opus-5,4
S_P-CIO-5_openai_04,4,63,P-CIO-5,openai,gpt-5.6-sol,4
S_P-CIO-2_openai_04,4,64,P-CIO-2,openai,gpt-5.6-sol,4
S_P-CIO-3_moonshot_04,4,65,P-CIO-3,moonshot,kimi-k3,4
S_P-COO-3_google_04,4,66,P-COO-3,google,gemini-3.1-pro-preview,4
S_P-COO-2_xai_04,4,67,P-COO-2,xai,grok-4.5,4
S_P-CFO-4_openai_04,4,68,P-CFO-4,openai,gpt-5.6-sol,4
S_P-CFO-5_openai_04,4,69,P-CFO-5,openai,gpt-5.6-sol,4
S_P-COO-5_xai_04,4,70,P-COO-5,xai,grok-4.5,4
S_P-CFO-4_google_04,4,71,P-CFO-4,google,gemini-3.1-pro-preview,4
S_P-CIO-2_xai_04,4,72,P-CIO-2,xai,grok-4.5,4
S_P-COO-1_openai_04,4,73,P-COO-1,openai,gpt-5.6-sol,4
S_P-CIO-3_anthropic_04,4,74,P-CIO-3,anthropic,claude-opus-5,4
S_P-COO-3_moonshot_04,4,75,P-COO-3,moonshot,kimi-k3,4
S_P-CIO-4_moonshot_05,5,1,P-CIO-4,moonshot,kimi-k3,5
S_P-CIO-3_xai_05,5,2,P-CIO-3,xai,grok-4.5,5
S_P-COO-3_google_05,5,3,P-COO-3,google,gemini-3.1-pro-preview,5
S_P-CIO-2_xai_05,5,4,P-CIO-2,xai,grok-4.5,5
S_P-COO-3_openai_05,5,5,P-COO-3,openai,gpt-5.6-sol,5
S_P-CIO-5_google_05,5,6,P-CIO-5,google,gemini-3.1-pro-preview,5
S_P-COO-4_anthropic_05,5,7,P-COO-4,anthropic,claude-opus-5,5
S_P-CIO-4_openai_05,5,8,P-CIO-4,openai,gpt-5.6-sol,5
S_P-CIO-4_anthropic_05,5,9,P-CIO-4,anthropic,claude-opus-5,5
S_P-CFO-1_moonshot_05,5,10,P-CFO-1,moonshot,kimi-k3,5
S_P-CFO-5_moonshot_05,5,11,P-CFO-5,moonshot,kimi-k3,5
S_P-COO-2_google_05,5,12,P-COO-2,google,gemini-3.1-pro-preview,5
S_P-COO-4_google_05,5,13,P-COO-4,google,gemini-3.1-pro-preview,5
S_P-CFO-3_anthropic_05,5,14,P-CFO-3,anthropic,claude-opus-5,5
S_P-CIO-2_moonshot_05,5,15,P-CIO-2,moonshot,kimi-k3,5
S_P-CFO-4_google_05,5,16,P-CFO-4,google,gemini-3.1-pro-preview,5
S_P-COO-1_moonshot_05,5,17,P-COO-1,moonshot,kimi-k3,5
S_P-CFO-1_openai_05,5,18,P-CFO-1,openai,gpt-5.6-sol,5
S_P-COO-2_moonshot_05,5,19,P-COO-2,moonshot,kimi-k3,5
S_P-COO-5_google_05,5,20,P-COO-5,google,gemini-3.1-pro-preview,5
S_P-CIO-3_google_05,5,21,P-CIO-3,google,gemini-3.1-pro-preview,5
S_P-CFO-1_anthropic_05,5,22,P-CFO-1,anthropic,claude-opus-5,5
S_P-CFO-1_google_05,5,23,P-CFO-1,google,gemini-3.1-pro-preview,5
S_P-CFO-5_openai_05,5,24,P-CFO-5,openai,gpt-5.6-sol,5
S_P-CFO-2_moonshot_05,5,25,P-CFO-2,moonshot,kimi-k3,5
S_P-CIO-5_openai_05,5,26,P-CIO-5,openai,gpt-5.6-sol,5
S_P-COO-3_xai_05,5,27,P-COO-3,xai,grok-4.5,5
S_P-CFO-4_xai_05,5,28,P-CFO-4,xai,grok-4.5,5
S_P-CIO-1_xai_05,5,29,P-CIO-1,xai,grok-4.5,5
S_P-CFO-3_moonshot_05,5,30,P-CFO-3,moonshot,kimi-k3,5
S_P-COO-2_xai_05,5,31,P-COO-2,xai,grok-4.5,5
S_P-CFO-5_google_05,5,32,P-CFO-5,google,gemini-3.1-pro-preview,5
